"Fiscal_Year","Contracting_Agency_ID","fundingrequestingagencyid","ContractingOfficeID","fundingrequestingofficeid","PlatformPortfolio","ProjectID","ProductOrServiceCode","ClaimantProgramCode","CompetitionClassification","ClassifyNumberOfOffers","PricingMechanism","research_code","VendorSize","ParentID","dunsnumber","CSIStransactionID","CSIScontractID","idvpiid","idvagencyid","agencyid","PIID","NumberOfActions","Action_Obligation_Then_Year","progsourceagency","progsourceaccount","progsourcesubacct","account_title","rec_flag","treasury_accounts_funding_this_award","federal_accounts_funding_this_award","usaspending_permalink","MainAccountTitle","ContractingAgencyName","Customer","SubCustomer","SubCustomer.sum","SubCustomer.platform","Competition.detail","Competition.sum","Competition.Graph","Competition.effective.only","Competition.multisum","No.Competition.sum","No.Competition.Offer","CompOffr","ProductOrServiceCodeText","SimpleArea","ProductOrServiceArea","ProductServiceOrRnDarea","CrisisProductOrServiceArea","Project.Name","IsUnknown","SubCustomer.JPO","Shiny.VendorSize","Action_Obligation_OMB23_GDP21","dFYear","descriptionofcontractrequirement","recipient_uei","recipient_parent_uei","parentdunsnumber","vendorname","standardizedvendorname","principalnaicscode"
2011,"5700","5700","FA8117","FD2030","Aircraft",NA,"AZ11","A1B","Competition with single offer","One Offer","Firm Fixed Price","SR1","Small",NA,"139396865",8907975,1372844,"","",9700,"FA811711C0009",1,98435.2031,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",115946.61394264,2011-01-01,"OTHER AIRCRAFT PART AND AUXILIARY EQUIPMENT MANUFACTURING","HVAEAVUJRG38",NA,139396865,"UNITED WESTERN TECHNOLOGIES CORP","UNITED WESTERN TECHNOLOGIES",336413
2002,"5700","5700","GR14","","Aircraft",NA,"AC16","A1B","Full Competition (Multiple Offers)","Two Offers","Firm Fixed Price","SR1","Small",NA,"008038846",333462,1185257,"","",9700,"F3361502M2256",1,1e+05,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (MANAGEMENT/SUPPORT)","Services","PAMS","PAMS","PAMS",NA,NA,"Air Force","Small",147447.677314391,2002-01-01,"",NA,NA,8038846,"WILLIAMS-PYRO, INC","WILLIAMS PYRO",541710
2005,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC16","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR2","Small",NA,"836759522",3726736,1185037,"","",9700,"F3361502C2235",1,614011,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (MANAGEMENT/SUPPORT)","Services","PAMS","PAMS","PAMS",NA,NA,"Air Force","Small",828577.796939443,2005-01-01,"","KQQMMWY4Y3T3",NA,836759522,"ECLIPSE ENERGY SYSTEMS","ECLIPSE ENERGY SYSTEMS",541710
2004,"2100","2100","W911W6","","Aircraft",NA,"AC13","A1B","Limited Competition with multiple offers","10-24 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"147518286",10741473,497218,"","",9700,"DAAH1003C0016",1,369989,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","DEFENSE AIRCRAFT (ADVANCED)","R&D","R&D","Advanced Technology Development (6.3)","R&D",NA,NA,"Army","Small",516411.320172616,2004-01-01,"",NA,NA,147518286,"MATERIALS & ELECTROCHEMICAL RE","MATERIALS & ELECTROCHEMICAL RE",541710
2005,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","25-99 Offers","Firm Fixed Price","SR1","Small",NA,"787144807",29269952,1418046,"","",9700,"FA865005M2502",1,1e+05,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",134945.106348167,2005-01-01,"","WMLSF59AE7E1",NA,787144807,"STRUCTURED MATERIALS INDUSTRIE","STRUCTURED MATERIALS INDUSTRIE",541710
2000,"5700","5700","GR14","","Aircraft",NA,"AC16","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR2","Small",NA,"877954644",6748312,1186433,"","",9700,"F3361599C2909",1,360037,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (MANAGEMENT/SUPPORT)","Services","PAMS","PAMS","PAMS",NA,NA,"Air Force","Small",553468.267143471,2000-01-01,"",NA,NA,877954644,"SADDLEBACK AEROSPACE CORP","SADDLEBACK AEROSPACE",NA
2006,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC16","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR2","Small",NA,"128688111",11954274,1418401,"","",9700,"FA865006C2666",1,250000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (MANAGEMENT/SUPPORT)","Services","PAMS","PAMS","PAMS",NA,NA,"Air Force","Small",325905.449716233,2006-01-01,"","QXCGJ12J54P2",NA,128688111,"SPORIAN MICROSYSTEMS INC","SPORIAN MICROSYSTEMS",541710
2018,"5700","5700","FA8650","F4FRQT","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","10-24 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"964730451",92722756,27168242,"","",9700,"FA865014C2435",1,0,NA,NA,NA,NA,NA,NA,NA,"https://www.usaspending.gov/#/award/CONT_AWD_FA865014C2435_9700_-NONE-_-NONE-/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2018-01-01,"ENGINE HEALTH MANAGEMENT OF MECHANICAL SYSTEMS FOR HIGH PERFORMANCE TURBINE ENGINES-NO COST TIME EXTENSION",NA,NA,964730451,"ETEGENT TECHNOLOGIES, LTD.","ETEGENT TECHNOLOGIES",541712
2020,"5700","5700","FA8650","F4FBQH","Aircraft",NA,"AC13","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR3","Small",NA,"879769180",86532328,61826095,"","",9700,"FA865015C2512",1,55675,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/#/award/CONT_AWD_FA865015C2512_9700_-NONE-_-NONE-/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","DEFENSE AIRCRAFT (ADVANCED)","R&D","R&D","Advanced Technology Development (6.3)","R&D",NA,NA,"Air Force","Small",57143.9059895781,2020-01-01,"NUMERICAL ANALYSIS FOR SCRAMJET&COLD START:INCREMENTAL FUNDS",NA,NA,879769180,"METACOMP TECHNOLOGIES, INC.","METACOMP TECHNOLOGIES",541712
2019,"9763","5700","S3605A","F4FRQQ","Aircraft",NA,"AJ45","A1B","Full Competition (Multiple Offers)","Two Offers","Cost Plus Fixed Fee","SR3","Small",NA,"130020209",77203201,61826135,"","",9700,"FA865015C2572",1,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/#/award/CONT_AWD_FA865015C2572_9700_-NONE-_-NONE-/",NA,"DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","Defense","Other DoD","Other DoD","Other DoD","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","ENGINEERING (OPERATIONAL)","R&D","R&D","System Development & Demonstration (6.5)","R&D",NA,NA,"Other DoD","Small",0,2019-01-01,"PROPERTY MOD",NA,NA,130020209,"CORNERSTONE RESEARCH GROUP, INC","CORNERSTONE RESEARCH GROUP",541712
2018,"5700","5700","FA8650","F4FRQT","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","25-99 Offers","Firm Fixed Price","SR1","Small",NA,"080284096",94333498,72127488,"","",9700,"FA865018P2003",1,149991,NA,NA,NA,NA,NA,NA,NA,"https://www.usaspending.gov/#/award/CONT_AWD_FA865018P2003_9700_-NONE-_-NONE-/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",159840.990019867,2018-01-01,"TURBINE EXHAUST GAS TEMPERATURE SENSOR DEVELOPMENT: FBG-BASED SENSING USING SAPPHIRE OPTICAL FIBERS","G5LEM9BGPMX6",NA,80284096,"OPTOXENSE, INC.","OPTOXENSE",541715
2005,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","25-99 Offers","Firm Fixed Price","SR1","Small",NA,"181947730",33283050,1418105,"","",9700,"FA865005M2590",1,1e+05,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",134945.106348167,2005-01-01,"","MK5ANJVWVZK7",NA,181947730,"TDA RESEARCH, INC","TDA RESEARCH",541710
2005,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","25-99 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"106823607",9370762,1417727,"","",9700,"FA865005C2527",1,375000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",506044.148805626,2005-01-01,"","ZKMCL2QBEN46",NA,106823607,"NEXTGEN AERONAUTICS, INC","NEXTGEN AERONAUTICS",541710
2007,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC16","A1B","Limited Competition with multiple offers","10-24 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"181947730",26480498,1418980,"","",9700,"FA865007C2722",1,-150000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (MANAGEMENT/SUPPORT)","Services","PAMS","PAMS","PAMS",NA,NA,"Air Force","Small",-190241.492868116,2007-01-01,"DEOBLIGATION","MK5ANJVWVZK7",NA,181947730,"TDA RESEARCH INCORPORATED","TDA RESEARCH",541710
2009,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC11","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR2","Small",NA,"883926594",531704,1417734,"","",9700,"FA865005C2534",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",0,2009-01-01,"NO COST TIME EXTENSION",NA,NA,883926594,"MOHAWK INNOVATIVE TECHNOLOGY,","MOHAWK INNOVATIVE TECHNOLOGY",541710
2008,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","10-24 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"181947730",6581932,1418980,"","",9700,"FA865007C2722",1,375000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",459610.692511106,2008-01-01,"SBIR II","MK5ANJVWVZK7",NA,181947730,"TDA RESEARCH INCORPORATED","TDA RESEARCH",541711
2011,"2100","2100","W5KA4N","W5KA4N","Aircraft",NA,"2945","C9E","Competition with single offer","One Offer","Firm Fixed Price","SR3","Unlabeled","Foreign Contractor","123456787",13157586,7995773,"","",9700,"W5KA4N11P0276",1,2143.6299,21,"2020","000",NA,"",NA,NA,NA,"Operation and Maintenance, Army","DEPT OF THE ARMY","Defense","Army","Army","Army","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","ENGINE AIR & OIL FILTERS - AIR","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Army","Unlabeled",2524.97704707026,2011-01-01,"[PIIN: W5KA4N-11-P-0276] 11-P-0276 FOB FARAH GENERATOR FILTERS",NA,NA,123456787,"MISCELLANEOUS FOREIGN CONTRACTORS","MISCELLANEOUS FOREIGN CONTRACTORS",335312
2011,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","25-99 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"188465819",14813715,1420294,"","",9700,"FA865009C2913",1,199945,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",235514.785307139,2011-01-01,"SBIR II EXTENSION",NA,NA,188465819,"METROLASER, INCORPORATED","METROLASER",541712
2000,"2100","2100","AH01","","Aircraft",113,"AD92","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR2","Small",NA,"938474574",21908469,496705,"","",9700,"DAAH0199CR044",1,435199,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","OTHER DEFENSE (APPLIED/EXPLORATORY)","R&D","R&D","Applied Research (6.2)","R&D","AH-64 APACHE",0,"Army","Small",669011.341591479,2000-01-01,"",NA,NA,938474574,"CERONE INC","CERONE",NA
2000,"2100","2100","AH01","","Aircraft",113,"AD92","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR1","Large: Big 6 (Small Subsidiary)","LOCKHEED MARTIN","149375479",27075931,493171,"","",9700,"DAAH0100CR201",1,98985,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","OTHER DEFENSE (APPLIED/EXPLORATORY)","R&D","R&D","Applied Research (6.2)","R&D","AH-64 APACHE",0,"Army","Big Five",152165.073098588,2000-01-01,"","MLF6FJ7FAVB3",NA,834951691,"COHERENT TECHNOLOGIES, INC","COHERENT TECHNOLOGIES",NA
2021,"5700","5700","FA8100","F3YCAE","Aircraft",NA,"AD22","A1B","Competition with single offer","One Offer","Firm Fixed Price","SR2","Small",NA,"033171534",105026220,77178897,"","",9700,"FA810019C0005",1,0,NA,NA,NA,NA,NA,"057-2018/2019-3600-000","057-3600","https://www.usaspending.gov/award/CONT_AWD_FA810019C0005_9700_-NONE-_-NONE-/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2021-01-01,"SMALL BUSINESS INNOVATION RESEARCH (SBIR), TOPIC AF 172-003, AUTOMATED CURABLE MASK APPLICATION","ZD3QFAX7RCF6","ZD3QFAX7RCF6",33171534,"SYSTEMS & MATERIALS RESEARCH CORPORATION","SYSTEMS & MATERIALS RESEARCH",336412
2019,"9763","5700","S1002A","F4FRQQ","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR2","Small",NA,"048159342",77267881,65609865,"","",9700,"FA865016C2721",1,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/#/award/CONT_AWD_FA865016C2721_9700_-NONE-_-NONE-/",NA,"DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","Defense","Other DoD","Other DoD","Other DoD","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Other DoD","Small",0,2019-01-01,"GOVERNMENT PROPERTY TRANSFER TO FA8650-14-D-2400",NA,NA,884457813,"FLORIDA TURBINE TECHNOLOGIES INC.","FLORIDA TURBINE TECHNOLOGIES",541712
2020,"5700","5700","FA8650","F4FBQH","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","ST2","Small",NA,"080491037",87017382,77189718,"","",9700,"FA865019C2420",1,0,NA,NA,NA,NA,NA,"057-2020/2021-3600-000","057-3600","https://www.usaspending.gov/#/award/CONT_AWD_FA865019C2420_9700_-NONE-_-NONE-/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2020-01-01,"COMPUTATIONAL TOOLS FOR RELIABLE PREDICTION- CORRECTION POP",NA,NA,80491037,"NEXT FRONTIER LLC","NEXT FRONTIER",541715
2005,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","25-99 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"005594908",6640306,1417723,"","",9700,"FA865005C2523",1,375000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",506044.148805626,2005-01-01,"","JYCHWMTD25T5",NA,5594908,"ENERGY PLUS LTD","ENERGY PLUS",541710
2005,"2100","2100","W911W6","W911W6","Aircraft",NA,"AZ14","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR2","Small",NA,"084066641",6584700,8148902,"","",9700,"W911W605C0002",1,351553,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)","R&D","R&D","Advanced Component Development & Prototypes (6.4)","R&D",NA,NA,"Army","Small",474403.569720171,2005-01-01,"","WU4UNS7CYLN6",NA,84066641,"CANDENT TECHNOLOGIES INCORPORA","CANDENT TECHNOLOGIES",541710
2010,"5700","5700","FA8650","FA8650","Aircraft",NA,"AD92","A1B","Limited Competition with multiple offers","10-24 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"161183322",19151667,1419690,"","",9700,"FA865008C2943",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","OTHER DEFENSE (APPLIED/EXPLORATORY)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2010-01-01,"NCTE",NA,NA,161183322,"PC KRAUSE AND ASSOCIATES INC","PC KRAUSE & ASSOCIATES",541712
2010,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR2","Small",NA,"074689217",17529750,1419042,"","",9700,"FA865007C5008",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",0,2010-01-01,"RESISTANT COATINGS FOR METAL TURBINE BLADES",NA,NA,74689217,"UES INCORPORATED","UES",541710
2005,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","10-24 Offers","Firm Fixed Price","SR1","Small",NA,"798611331",7239569,1418077,"","",9700,"FA865005M2562",1,1e+05,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",134945.106348167,2005-01-01,"",NA,NA,798611331,"SCIENTIFIC MONITORING INC","SCIENTIFIC MONITORING",541710
2001,"5700","5700","GR14","","Aircraft",NA,"AC16","A1B","Limited Competition with multiple offers","Two Offers","Cost Sharing","SR2","Small",NA,"798611331",10486191,1186305,"","",9700,"F3361598C2890",1,50000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (MANAGEMENT/SUPPORT)","Services","PAMS","PAMS","PAMS",NA,NA,"Air Force","Small",74870.3991892626,2001-01-01,"",NA,NA,798611331,"SCIENTIFIC MONITORING, INC","SCIENTIFIC MONITORING",541710
2009,"9763","5700","S0602A","FA8650","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","3-4 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"612498220",17781434,1418394,"","",9700,"FA865006C2658",1,-0.03,NA,"","",NA,"",NA,NA,NA,NA,"DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","Defense","Other DoD","Other DoD","Other DoD","3-4 Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Other DoD","Small",-0.0368235419148734,2009-01-01,"RD",NA,NA,612498220,"REACTION ENGINEERING INTERNATI","REACTION ENGINEERING INTERNATI",541710
2019,"9763","5700","S2206A","FA8650","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR2","Small",NA,"072021041",77095985,1422080,"","",9700,"FA865012C2233",1,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/#/award/CONT_AWD_FA865012C2233_9700_-NONE-_-NONE-/",NA,"DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","Defense","Other DoD","Other DoD","Other DoD","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Other DoD","Small",0,2019-01-01,"SBIR II: ADVANCED FUEL SYS FOR LOW-BANDWIDTH SCREECH SUPPRESSION",NA,NA,72021041,"CREARE INCORPORATED","CREARE",541712
2010,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","5-9 Offers","Firm Fixed Price","SR1","Small",NA,"798073391",30696604,1421308,"","",9700,"FA865010M2091",1,1e+05,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",120580.254661591,2010-01-01,"HIGH-TEMPERATURE, FULL-FIELD STRAIN MAPPING FO CERAMIC MATIRX COMPOSITES FOR AERO-ENGINE COMPONENTS","WRLGUJSGKJG8",NA,798073391,"HYPER-THERM HIGH-TEMPERATURE COMPOSITES, INC.","HYPER THERM HIGH TEMPERATURE COMPOSITES",541712
