Line#,Type,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,BA#,Description,Prior Years,FY 2018,FY 2019,FY 2020 Base,FY 2020 OCO,FY 2020 Total,FY 2021,FY 2022,FY 2023,FY 2024,Program Element,Service,Notes
98,PE,0604214M,,AV-8B Aircraft - Engine Dev,05,"The program provides for AV-8B Design, Development, Integration, and Test of various platform improvements such as: Engine Life Management Program (ELMP), Escape Systems, Joint Mission Planning System (JMPS), and Block upgrades to various mission systems and software Operational Flight Programs (OFPs) to include JMPS integration, avionics and communications systems, navigation equipment, weapons carriage and countermeasures, studies and analyses of future capability expansion and unique flight testing, and the Obsolescence Replacement (OR)/Readiness Management Plan (RMP) including structural, hydraulic, electrical, environmental, and mechanical systems.  OR/RMP represents all engineering activities for development and design to support aircraft safety flight clearances, concept explorations, responses to evolving threats, and developments to support Program Objective Memorandum.    The program's Evolutionary Acquisition Strategy includes Design, Development, Integration, and Test activities under the consolidated effort of Block Developments: H6.2 and follow-on block upgrades, to include a H7.0 block upgrade that will be required to implement full Link 16 capability, provide weapon improvements and integrate AIM-9X and Joint Standoff Weapon (JSOW). An H6.2 update, included the Common Avionics Program, provided AV-8B a self-contained Global Positioning System navigation capability that is required to access preferred airspaces, and included a Litening OFP V3, and initial Link 16 Precise Participant Location and Identification capability, which provided interoperability, digital combat identification and increased situational awareness on the battlefield.  Link 16 is a Top 10 item in the Operational Advisory and Systems Safety Groups.  The H7.0 OFP will fully implement the Harrier Link 16 integration, which will provide information sharing capabilities and integration of an increased number of Link 16 J-series messages and the ability to act on shared target track information.  Connection to the Link 16 network is vital to the AV-8B's ability to operate within some Command and Control situations and Operational Plans, as designed today, as well as provide a tactical capability for the more effective and safe prosecution of both airborne and ground targets. Continued AV-8B combat relevance and ability to respond to evolving and emergent threats through end of service is critical to the Marine Air-Ground Task Force's ability to generate aviation combat power throughout the transition to F-35B. J-series, K-series, Tactical Targeting Network Technology, and other emerging datalink technology messages are required to support current and future mission threads. Linked performance on par with current tactical platforms as well as design to communicate with F-35 is required for the AV-8B to remain tactically relevant to transition. H7.0 will also include the integration and test of weapons and sensors such as, but not limited to, AIM-9X, JSOW and Litening OFP V4, and will integrate required Display Computer processing improvements to enable H7.0 functionality. Integration of these weapons is vital to the Harrier's continued combat relevance to the Marine Expeditionary Unit and Global Response Force Combatant Commanders particularly as obsolete AIM-9M inventory dwindles.   Additionally, software integration and stores expansion testing will be required for systems to include a Helmet Mounted Cueing System (HMCS), Unique Weapons, survivability and Countermeasures, Advanced Precision Kill Weapons System (APKWS), AIM-9X, ALE-43, survivability upgrades, standoff weapons such as JSOW, Joint Air-to-Ground Missile (JAGM) and AIM-120 unique platform flight test which will be required to utilize updated AIM-120C variants on the AV-8B as well as test of emergent tactical requirements. AV-8B funding also supports peculiar flight test requirements to include weapons integration/carriage and avionics and software/firmware upgrades. Studies and analyses will be conducted on systems such as survivability systems, HMCS and Beyond Line of Sight (BLOS) to assess feasibility of integrating on the AV-8B. The ELMP is a comprehensive plan to increase and maintain safety of flight and operational readiness of the AV-8B F402-RR-408 Engine and accessories.  The program will accomplish this mission by conducting Engineering Project Description investigations to develop engineering solutions that address emergent safety, obsolescence, foreign object debris detection and prevention, fatigue life and maintenance issues.  The OR/RMP is required to ensure the AV-8B air vehicle's sustained mission availability, and safe and reliable operational readiness until end of service.  Air vehicle sustainment requires component and system analyses, technical planning, identification, prioritization, and diagnosis of emergent  problems and the allocation of resources for the development, testing and flight clearance of engineering solutions in the areas of flight, crew safety, and escape systems and structural integrity, obsolescence, systems reliability and maintainability, inventory preservation, alternative mission development, or other emergent material or equipment conditions affecting AV-8B systems readiness.  Activities include research/analysis for system safety deficiency corrections, fuel system safety improvements, structural analyses, monitoring and integrity analysis, component compatibility, component and materials obsolescence analyses and mitigation development, explorations for aging equipment, reliability improvement analyses and design developments.",460.370,0.000,46.363,27.441,0.000,27.441,23.646,16.772,17.050,17.384,AV-8B Aircraft - Engine Dev,Navy,
98,Project,0604214M,0652,AV-8B,5,"This program provides for AV-8B Design, Development, Integration and Test of the following improvements:  Engine Life Management Program (ELMP), Operational Flight Programs (OFPs) and Avionics/Weapons Integration, Escape System, and Readiness Management Plan (RMP). The ELMP is a comprehensive plan to increase safety of flight and operational readiness of the AV-8B F402-RR-408 Engine and Gas Turbine Starter (GTS), as well as other critical engine components. The Program Office will accomplish this mission through the Component Improvement Program (CIP), which entails Engineering Project Description investigations to derive safety and reliability improvements to the engine and engine components. H6.2 provided Global Positioning System navigation capabilities, a Litening common OFP update and initial Link 16 capability to include use of the APX-123, initial Mode 5 capability, as well as software updates and cryptographic modernization. H7.0 OFP will integrate full Harrier Link 16 capability, provide software updates, integrate AIM-9X, a Litening Common OFP update, provide Advanced Precision Kill Weapons System (APKWS) integration improvements, Joint Standoff Weapon (JSOW) integration, and common avionics ADS-B (out), Mode 5, and Mode S Identification Friend or Foe capabilities as well as integrate required Radar Display Computer processing improvements to enable H7.0 functionality.  Other efforts include peculiar integration and flight test requirements such as AIM-120C flight test, as AIM-120A/B will become obsolete,  unique weapons, sensors, and countermeasures integration and stores expansion to include APKWS, Helmet Mounted Cueing System (HMCS), Beyond-Line-of-Sight (BLOS) communications, AIM-9X, ALE-43, standoff weapons such as JSOW, and unique flight test and study efforts of other avionics, sensors, or weapons systems , or emergent tactical requirements, as they arise. The program is working closely with the Common Avionics Program and the Allies (Spain and Italy) on all efforts. RMP represents all engineering activities for development, design and test to support aircraft safety, flight clearance and concept exploration for resolution of emergent safety, service life, escape systems, compatibility, obsolescence, and readiness issues as well as response to fleet urgent operational requirements.",460.370,0.000,46.363,27.441,0.000,27.441,23.646,16.772,17.050,17.384,AV-8B Aircraft - Engine Dev,Navy,
99,PE,0604214N,,AV-8B Aircraft - Engine Dev,05,"The program provides for AV-8B Design, Development, Integration, and Test of various platform improvements such as: Engine Life Management Program (ELMP), Escape Systems, Joint Mission Planning System (JMPS), and Block upgrades to various mission systems and software Operational Flight Programs (OFPs) to include JMPS integration, avionics and communications systems, navigation equipment, weapons carriage and countermeasures, studies and analyses of future capability expansion and unique flight testing, and the Obsolescence Replacement (OR)/Readiness Management Plan (RMP) including structural, hydraulic, electrical, environmental, and mechanical systems.  OR/RMP represents all engineering activities for development and design to support aircraft safety flight clearances, concept explorations, responses to evolving threats, and developments to support Program Objective Memorandum.  The program's Evolutionary Acquisition Strategy includes Design, Development, Integration, and Test activities under the consolidated effort of Block Developments: H6.2 and follow-on block upgrades, to include a H7.0 block upgrade that will be required to implement full Link 16 capability, provide weapon improvements and integrate AIM-9X and Joint Standoff Weapon (JSOW). An H6.2 update, included the Common Avionics Program, provided AV-8B a self-contained Global Positioning System navigation capability that is required to access preferred airspaces, and included a Litening OFP V3, and initial Link 16 Precise Participant Location and Identification capability, which provided interoperability, digital combat identification and increased situational awareness on the battlefield.  Link 16 is a Top 10 item in the Operational Advisory and Systems Safety Groups.  The H7.0 OFP will fully implement the Harrier Link 16 integration, which will provide information sharing capabilities and integration of an increased number of Link 16 J-series messages and the ability to act on shared target track information.  Connection to the Link 16 network is vital to the AV-8B's ability to operate within some Command and Control situations and Operational Plans, as designed today, as well as provide a tactical capability for the more effective and safe prosecution of both airborne and ground targets. Continued AV-8B combat relevance and ability to respond to evolving and emergent threats through end of service is critical to the Marine Air-Ground Task Force's ability to generate aviation combat power throughout the transition to F-35B. J-series, K-series, Tactical Targeting Network Technology, and other emerging datalink technology messages are required to support current and future mission threads. Linked performance on par with current tactical platforms as well as design to communicate with F-35 is required for the AV-8B to remain tactically relevant to transition. H7.0 will also include the integration and test of weapons and sensors such as, but not limited to, AIM-9X, JSOW and Litening OFP V4, and will integrate required Display Computer processing improvements to enable H7.0 functionality. Integration of these weapons is vital to the Harrier's continued combat relevance to the Marine Expeditionary Unit and Global Response Force Combatant Commanders particularly as obsolete AIM-9M inventory dwindles. Additionally, software integration and stores expansion testing will be required for systems to include a Helmet Mounted Cueing System (HMCS), Unique Weapons, survivability and Countermeasures, Advanced Precision Kill Weapons System (APKWS), AIM-9X, ALE-43, survivability upgrades, standoff weapons such as JSOW, Joint Air-to-Ground Missile (JAGM) and AIM-120 unique platform flight test which will be required to utilize updated AIM-120C variants on the AV-8B as well as test of emergent tactical requirements. AV-8B funding also supports peculiar flight test requirements to include weapons integration/carriage and avionics and software/firmware upgrades. Studies and analyses will be conducted on systems such as survivability systems, HMCS and Beyond Line of Sight (BLOS) to assess feasibility of integrating on the AV-8B. The ELMP is a comprehensive plan to increase and maintain safety of flight and operational readiness of the AV-8B F402-RR-408 Engine and accessories.  PMA-257 will accomplish this mission by conducting Engineering Project Description investigations to develop engineering solutions that address emergent safety, obsolescence, foreign object debris detection and prevention, fatigue life and maintenance issues.  The OR/RMP is required to ensure the AV-8B air vehicle's sustained mission availability, and safe and reliable operational readiness until end of service.  Air vehicle sustainment requires component and system analyses, technical planning, identification, prioritization, and diagnosis of emergent  problems and the allocation of resources for the development, testing and flight clearance of engineering solutions in the areas of flight, crew safety, and escape systems and structural integrity, obsolescence, systems reliability and maintainability, inventory preservation, alternative mission development, or other emergent material or equipment conditions affecting AV-8B systems readiness.  Activities include research/analysis for system safety deficiency corrections, fuel system safety improvements, structural analyses, monitoring and integrity analysis, component compatibility, component and materials obsolescence analyses and mitigation development, explorations for aging equipment, reliability improvement analyses and design developments.",411.590,41.261,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AV-8B Aircraft-Engine Dev,Navy,
99,Project,0604214N,0652,AV-8B,5,"This program provides for AV-8B Design, Development, Integration and Test of the following improvements:  Engine Life Management Program (ELMP), Operational Flight Programs (OFPs) and Avionics/Weapons Integration, Escape System, and Readiness Management Plan (RMP). The ELMP is a comprehensive plan to increase safety of flight and operational readiness of the AV-8B F402-RR-408 Engine and Gas Turbine Starter (GTS), as well as other critical engine components. The Program Office will accomplish this mission through the Component Improvement Program (CIP), which entails Engineering Project Description investigations to derive safety and reliability improvements to the engine and engine components. H6.2 provided Global Positioning System navigation capabilities, a Litening common OFP update and initial Link 16 capability to include use of the APX-123, initial Mode 5 capability, as well as software updates and cryptographic modernization. H7.0 OFP will integrate full Harrier Link 16 capability, provide software updates, integrate AIM-9X, a Litening Common OFP update, provide Advanced Precision Kill Weapons System (APKWS) integration improvements, Joint Standoff Weapon (JSOW) integration, and common avionics ADS-B (out), Mode 5, and Mode S Identification Friend or Foe capabilities as well as integrate required Radar Display Computer processing improvements to enable H7.0 functionality.  Other efforts include peculiar integration and flight test requirements such as AIM-120C flight test, as AIM-120A/B will become obsolete,  unique weapons, sensors, and countermeasures integration and stores expansion to include APKWS, Helmet Mounted Cueing System (HMCS), Beyond-Line-of-Sight (BLOS) communications, AIM-9X, ALE-43, standoff weapons such as JSOW, and unique flight test and study efforts of other avionics, sensors, or weapons systems , or emergent tactical requirements, as they arise. The program is working closely with the Common Avionics Program and the Allies (Spain and Italy) on all efforts. RMP represents all engineering activities for development, design and test to support aircraft safety, flight clearance and concept exploration for resolution of emergent safety, service life, escape systems, compatibility, obsolescence, and readiness issues as well as response to fleet urgent operational requirements.",411.590,41.261,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,AV-8B Aircraft-Engine Dev,Navy,
110,PE,0604262N,,V-22A,05,"The V-22 Osprey is an Acquisition Category IC Joint Program led by the Department of the Navy for the purpose of developing, testing, evaluating, procuring and fielding a tilt rotor, vertical takeoff and landing aircraft for Joint Service application.  The V-22 program is designed to provide an aircraft to meet the amphibious/vertical assault needs of the Marine Corps, the Carrier Onboard Delivery (COD) needs of the Navy, and the special operations needs of the Air Force and the United States Special Operations Command (USSOCOM). The MV-22 variant is replacing the CH-46E in the Marine Corps and the CMV-22 will replace the C-2A in the Navy. The CV-22 variant replaced the MH-53J and MH-53M and augments the C-130 in the Air Force and USSOCOM.  The V-22 is capable of flying over 2,100 nautical miles, with a single refueling, giving the services the advantage of a Vertical/Short Take-off and Landing aircraft that can rapidly self-deploy to any location in the world.  This program is funded under Engineering Manufacturing and Development (EMD) for correction of deficiencies and includes Block A and Block B upgrades which encompassed engineering and manufacturing development of new end-items prior to the production incorporation decision as well as Block C suitability and effectiveness development upgrades.  Capability Development Document interoperability requirements were addressed through a spiral upgrade acquisition strategy.  It was the first spiral providing Key Enabling Department of Defense mandated open systems architecture upgrades for the mission computer hardware and software while simultaneously addressing required interoperability common avionics upgrades and current avionics obsolescence issues.  Future development efforts will include Pre-Planned-Product-Improvements in the Capability Development Document and Re-design efforts to correct critical Reliability, Maintainability and Availability issues in support of readiness Operational Safety Improvement Program as prioritized by the United States Marine Corps or an Urgent Universal Needs Statement. Development efforts include Mission System Upgrades, Electrical System Upgrades, Engine Air Particle Separator (EAPS), Mid-Wing Process Unit, ARC 210 Series Radio, Mission Computer Obsolescence Initiative, Weapon Systems Development, Time on Wing, Digital Interoperability (DI), Technology Insertion efforts such as: Infrared Suppressor (IRS), Modular Avionics Mission Computer Re-design / CyberSecurity, Center Console Re-design, Flight Control System Re-design, Degraded Visual Environment (DVE), Helmet Mounted Display and Multi-Spectral Sensor, Aircraft Mission Maneuvering Envelope Expansion and testing of Additive Manufacturing processes for selected MV-22 components.  The V-22 Hardware Development Airframe continues to fund development efforts in support of V-22 Block upgrades, Time on Wing and Safety Improvement efforts such as Cockpit Engine Health Indicator and gearbox vibration monitoring. Continue engineering, logistics, flight test, flight test support and address the correction of deficiencies and obsolescence. Continue V-22 software development/mission computer obsolescence initiatives such as transition tech demo and modular avionics mission computer redesign. Continue V-22 Integrated Aircraft Survivability Equipment to include correcting deficiencies; radar warning system, integration with an upgraded missile warning and active infrared countermeasure system, rotor blade tabs, nacelle sails, Miniature Airborne Global Positioning System Receiver, Defensive Weapons capabilities and providing integrated threat warning information on the aircraft's main flight displays. Continue correcting deficiencies of the current EAPS and development of particle separation solutions. Continue Nacelle redesign efforts that will improve maintainability and reliability, as well as wiring redesign.  V-22 Hardware Development Propulsion will continue to fund the flight/engine hours that are necessary for the design, development, validation and verification of the V-22 propulsion and power systems at the Patuxent River squadron. Rolls-Royce will continue to provide engine support and development of V-22 flight testing.  JUSTIFICATION FOR BUDGET ACTIVITY: This program is funded under OPERATIONAL SYSTEMS DEVELOPMENT because it includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate funding in the current or subsequent fiscal year.  Note:   1st 2 CMV production aircraft are test aircraft. They will be delivered to Patuxent River to support Development Testing (DT). OT will be conducted as part of a carrier air wing work-up prior to deployment. Operational Testing (OT) will focus on assessing the effectiveness and suitability of the CMV-22 as the Carrier Onboard Delivery platform in the carrier strike group. There is no Milestone C, because CMV-22 is being executed as an ECP to V-22 Block C. Initial Operational Capability for CMV-22 is FY-21.","9,351.238",176.804,135.504,185.105,0.000,185.105,133.059,110.392,125.330,110.769,V-22A,Navy,
110,A/PP,0604262N,1425,V-22 Hardware Development Propulsion/Mission Care,5,,,1.487,1.712,2.139,0.000,2.139,,,,,V-22A,Navy,
2,PE,0601102A,,Defense Research Sciences,01,"This PE builds fundamental scientific knowledge contributing to the sustainment of United States (US) Army scientific and technological superiority in land warfighting capability and to solving military problems related to long-term national security needs, investigates new concepts and technologies for the Army's future force, and provides the means to exploit scientific breakthroughs and avoid technological surprises. This PE fosters innovation in Army niche areas (e.g., lightweight armor, energetic materials, and night vision capability) and areas where there is no commercial investment due to limited markets (e.g., vaccines for tropical diseases). It also focuses university single investigator research on areas of high interest to the Army (e.g., high-density compact power and novel sensor phenomenology). The in-house portion of the program capitalizes on the Army's scientific talent and specialized facilities to transition knowledge and technology into appropriate developmental activities. The extramural program leverages the research efforts of other government agencies, academia, and industry.  This PE also supports basic research at the Army laboratories through the In-House Laboratory Independent Research (ILIR) program.  The ILIR program serves as a catalyst for major technology breakthroughs by providing laboratory directors flexibility in implementing novel research ideas, by nurturing promising young scientists and engineers, and is used to attract and retain top doctoral degreed scientists and engineers. The ILIR program also provides a source of competitive funds for peer reviewed efforts at Army laboratories to stimulate high quality, innovative research with significant opportunity for payoff to Army warfighting capability.  All FY 2020 adjustments align program financial structure to Army Modernization Priorities in support of the National Defense Strategy.  The cited work is consistent with the Under Secretary of Defense for Research and Engineering priority focus areas and the Army Modernization Strategy.",0.000,274.098,315.660,297.976,0.000,297.976,302.259,311.198,319.500,323.126,Defense Research Sciences,Army,
2,Project,0601102A,AA6,Robotics and Mobile Energy,1,"This Project fosters basic research to expand the Army's capabilities in the area of propulsion, platform mechanics, and autonomous air and ground platforms to support the Army Modernization Priorities of Future Vertical Lift and Next Generation Combat Vehicle. This includes research to enable the investigation of risk-based design methodologies and control algorithms for enduring operation of rotorcraft and ground vehicles, artificial intelligence and novel mobility mechanics to enable robotic systems to serve as productive embodied teaming agents; and propulsion and alternative energy systems to increase the reliability, efficiency, and survivability of air and/or ground platforms.   This Project also conducts research in support of advanced military vehicle technology with emphasis on sophisticated vehicle dynamics and simulation, vehicle-terrain interaction, vehicle control, and advanced track and suspension concepts. Advanced propulsion research will dramatically improve power density, performance and thermal efficiency for advanced engines, transient heat transfer, high temperature materials and thermodynamics. This Project also supports state-of-the-art simulation technologies to achieve a more fundamental understanding of advanced mobility concepts. The subject research is directed at unique, state- of-the-art phenomena in specific areas such as: non-linear ground vehicle control algorithms, using off-road terrain characteristics; and unique mobility approaches, using advanced analytical and experimental procedures.  The work in this Project supports PE 0602148A (Future Vertical Lift Technology) / Project AL5 (Air Vehicle Structures and Dynamics Technology), Project AK9 (Adv Teaming for Tactical Aviation Operations Tech), Project AL4 (Digital Vehicle Management and Control Technology), and Project AI9 (Future UAS Engine Technology), PE 0602145A (Next Generation Combat Vehicle Technology) / Project BF8 (Artificial Intelligence & Machine Learning Tech), PE 0601104A (University and Industry Research Centers) / Project AB7 (Army Collaborative Research and Tech Alliances).  FY 2020 realignments are due to financial restructuring in support of Army Modernization Priorities.  The cited work is consistent with the Under Secretary of Defense for Research and Engineering priority focus areas and the Army Modernization Strategy.",0.000,0.000,0.000,22.442,0.000,22.442,22.817,22.970,23.428,23.688,Defense Research Sciences,Army,May taint data. Bundles propulsion research for ground and aerial systems.
2,Project,0601102A,F20,Adv Propulsion Rsch,1,"This Project fosters research to increase the performance of small air-breathing engines and power-trains to support improved system mobility, reliability, and survivability for air and/or ground vehicles; and ultimately serves to reduce the logistics cost burden for the future force.  Problems addressed include the need for greater fuel efficiency and reduced weight in these propulsion systems.  Technical barriers to advanced propulsion systems are the inadequacy of existing materials to safely withstand higher temperature demands, the lack of capability to accurately simulate the flow physics and the mechanical behavior of these systems, including the engine and drive train.  The Army is the lead Service in these technology areas and performs basic research in propulsion, as applicable to rotorcraft as well as tracked and wheeled vehicles.  Technical solutions are being pursued through analysis, code generation, and evaluations to improve engine and drive train components and investigate advanced materials.  Component level investigations include compressors, combustors, turbines, energy sources and conversion, injectors, pistons, cylinder liners, piston rings, gears, seals, bearings, shafts, and controls.  Work in this Project provides the technical underpinnings for PE 0602211A (Aviation Technology).  FY 2020 realignments are due to financial restructuring in support of Army Modernization Priorities.  The cited work is consistent with the Under Secretary of Defense for Research and Engineering priority focus areas and the Army Modernization Strategy.",0.000,3.443,3.544,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Defense Research Sciences,Army,May taint data. Bundles propulsion research for ground and aerial systems.
214,PE,0607139A,,Improved Turbine Engine Program,07,"ITEP develops, tests, qualifies, and integrates the next generation turboshaft engine on the Black Hawk and Apache aircraft.  The Improved Turbine Engine (ITE) replaces the existing T700 engine design originated in the 1970's and meets the operational requirement of 6,000 feet pressure altitude and 95 degrees (6K/95).  The ITE will fit inside the existing engine bays of the Black Hawk and Apache Helicopters and provides a significant power enhancement of up to fifty percent (total of 3,000 class shaft horsepower) with increased fuel efficiency.  Additional benefits include improved design life, enhanced reliability, lower maintenance cost and restored capability lost due to aircraft weight growth, without increasing the logistics footprint.  The program consists of systems engineering and program management, detailed design engineering, design assurance, hardware manufacturing and testing, component and module level development and testing, system level testing and qualification, as well as integration into the airframe.  FY 2019 funds the Engineering and Manufacturing Development (EMD) contract that will be awarded to one vendor, platform/engine integration design engineering, and ballistic assessments ending in FY 2020. FY 2020 funding continues both the EMD effort and platform/engine integration A-kit development, resulting in a Critical Design Review (CDR). Engine component testing will begin, and engine fit check will be performed for both platforms. FY 2021 continues the EMD effort, continues A-Kit component testing, begins Preliminary Flight Rating (PFR) testing leading to First Engine To Test (FETT). FY 2021 also begins physical airframe integration. FY 2022 funding will continue PFR testing, leading to a Flight Test Air Worthiness Release (AWR) in early FY 2023. FY 2023 funding provides for aircraft flight/qualification testing for both Apache and Black Hawk and the initiation of engine full qualification testing. FY 2024 funding provides for completion of engine qualification, completion of aircraft flight/qualification testing for both Apache and Black Hawk, and Low Rate Initial Production (LRIP).",0.000,167.532,188.903,206.434,0.000,206.434,279.600,217.900,166.400,165.662,Improved Turbine Engine Program,Army,
214,Project,0607139A,ES6,Improved Turbine Engine Program,7,"ITEP develops, tests, qualifies, and integrates the next generation turboshaft engine on the Black Hawk and Apache aircraft.  The Improved Turbine Engine (ITE) replaces the existing T700 engine design originated in the 1970's and meets the operational requirement of 6000 feet pressure altitude and 95 degrees (6K/95).  The ITE will fit inside the existing engine bays of the Black Hawk and Apache Helicopters and provides a significant power enhancement of up to fifty percent (total of 3,000 class shaft horsepower) with increased fuel efficiency.  Additional benefits include improved design life, enhanced reliability, lower maintenance cost and restored capability lost due to aircraft weight growth, without increasing the logistics footprint.  The program consists of systems engineering and program management, detailed design engineering, design assurance, hardware manufacturing and testing, component and module level development and testing, system level testing and qualification, as well as integration into the airframe.  FY 2019 funds the Engineering and Manufacturing Development (EMD) contract that will be awarded to one vendor, platform/engine integration design engineering, and ballistic assessments ending in FY 2020.  FY 2020 funding continues both the EMD effort and platform/engine integration A-kit development, resulting in a Critical Design Review (CDR). Engine component testing will begin, and engine fit check will be performed for both platforms. FY 2021 continues the EMD effort, continues A-Kit component testing, begins Preliminary Flight Rating (PFR) testing leading to First Engine To Test (FETT). FY 2021 also begins physical airframe integration. FY 2022 funding will continue PFR testing, leading to a Flight Test Air Worthiness Release (AWR) in early FY 2023. FY 2023 funding provides for aircraft flight/qualification testing for both Apache and Black Hawk and the initiation of engine full qualification testing. FY 2024 funding provides for completion of engine qualification, completion of aircraft flight/qualification testing for both Apache and Black Hawk, and Low Rate Initial Production (LRIP).",0.000,167.532,188.903,206.434,0.000,206.434,279.600,217.900,166.400,165.662,Improved Turbine Engine Program,Army,
226,PE,0203744A,,Aircraft Modifications/Product Improvement Programs,07,"The MQ-1C Gray Eagle provides the Army with an extended range, multi-purpose (ERMP) Unmanned Aircraft System (UAS); capable of executing reconnaissance, security, attack, and intelligence collection missions in the range of military operations (ROMO). Sensors/payloads include an Electro-Optical/Infrared/Laser Designator (EO/IR/LD), Synthetic Aperture Radar/Moving Target Indicator (SAR/MTI), Signals Intelligence (SIGINT), and HELLFIRE missiles; providing a near all-weather mission capability. MQ-1C Gray Eagle is a dedicated, assured, multi-mission UAS fielded to all Army Divisions, Intelligence and Security Command and Army Special Operations Command in support of the commander's warfighting priorities within multi-domain battle operations.  The Fiscal Year (FY) 2020 Aircraft Modification/Product Improvement funding of $16.486 million will integrate alternate munitions, support GPS denied development and testing, improve aircraft survivability, and improve propulsion reliability.",0.000,34.228,17.684,16.486,0.000,16.486,13.904,11.307,9.187,7.188,MQ-1C Gray Eagle MODS,Army,
226,A/PP,0203744A,EB6,Propulsion Reliability,7,,,0.000,0.000,6.900,0.000,6.900,,,,,MQ-1C Gray Eagle MODS,Army,
227,PE,0203752A,,Aircraft Engine Component Improvement Program,07,"Aircraft Engine Component Improvement Program (CIP) develops, tests, and qualifies improvements to aircraft engine components to correct service-revealed deficiencies, improve flight safety, enhance readiness and reduce operating and support (O&S) costs. In addition, CIP provides the test vehicles for the testing and qualification efforts required as a part of the Army's Critical Safety Item (CSI) program.  Non-program specific Auxiliary Power Unit (APU) as well as Unmanned Aerial Vehicle (UAV) safety and readiness issues are also addressed under this Program Element.",0.000,0.139,0.146,0.144,0.000,0.144,0.145,0.145,0.145,0.145,Aircraft Engine Component Improvement Program,Army,
227,Project,0203752A,106,A/C Compon Improv Prog,7,"Aircraft Engine Component Improvement Program (CIP) develops, tests, and qualifies improvements to aircraft engine components to correct service-revealed deficiencies, improve flight safety, enhance readiness and reduce operating and support (O&S) costs.  In addition, CIP provides the test vehicles for the testing and qualification efforts required as a part of the Army's Critical Safety Item (CSI) program. Non-program specific Auxiliary Power Unit (APU) as well as Unmanned Aerial Vehicle (UAV) safety and readiness issues are also addressed under this Program Element (PE).",0.000,0.139,0.146,0.144,0.000,0.144,0.145,0.145,0.145,0.145,Aircraft Engine Component Improvement Program,Army,
