Line#,Type,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,BA#,Description,Prior Years,FY 2020,FY 2021,FY 2022 Base,FY 2022 OCO,FY 2022 Total,FY 2023,FY 2024,FY 2025,FY 2026,Program Element,Service
200,PE,0604840N,,F-35C C2D2,07,"The F-35 Joint Strike Fighter (JSF) Program will develop and field an affordable, highly common family of next generation strike aircraft for the United States Navy, United States Air Force, United States Marine Corps and International Partners countries. There are three variants the F-35A Conventional Takeoff and Landing variant; F-35B Short Take Off and Vertical Landing; and the F-35C Aircraft Carrier suitable variant. Maximum commonality among the variants, consistent with National Disclosure Policy, will minimize total air system life cycle costs. Planning and pre-development systems engineering for Block 4 continues as Initial Operational Capability (IOC) is met for each variant during System Development and Demonstration (SDD).    The JSF Continuous Capability Development & Delivery(C2D2) efforts provide incremental warfighting capability improvements to maintain joint air dominance against evolving threats. Block 4 capability requirements were initiated through ongoing Service-led operational analysis of warfighting gaps identified in the Fifth Generation Fighter Modernization Initial Capabilities Document (ICD), and through F-35 JSF Block 4 Mission Decomposition analysis completed in FY 2014. These analyses serve as the basis for the Block 4 (CDD), staffed through the Air Force Requirements Oversight Council (AFROC) and signed by the USAF Chief of Staff in January 2015. Joint Requirements Oversight Council (JROC) approved the CDD 21 March 2017. Modernization activities in FY 2017 and FY 2018 include systems engineering, risk reduction, and infrastructure required to deliver full air system Block 4 capabilities to support initial fleet availability of Block 4 upgrades in FY 2020 with the fielding of Auto Ground Collision Avoidance System (AGAS). Modernization activities in FY2021 and FY2022 continue with the incremental releases of Block 4 capabilities.   Block 4 efforts include a robust weapons integration portfolio and provide new opportunities for International Partners to assess, integrate, and field unique capabilities based on global sovereign requirements.  The United Kingdom, Italy, Netherlands, Canada, Australia, Denmark and Norway are participants in F-35 modernization. The program shown here reflects United States Navy funding. Total funding for all Service and International Partners is reported at the accomplishment/planned program level since activities support all aircraft variants. Foreign Military Sales are ongoing separately.  PE 0604840M/N replacing PE 0604810M/N beginning in FY2019 due to budget being moved from BA05 to BA07.",1053.021,342.86,370.235,481.962,0,481.962,0,0,0,0,Propulsion (PP),Navy
200,Project,0604840N,2556,Propulsion (PP),7,"Propulsion F135 Block 4 Integrated Flight Test Support includes efforts such as Engine Flight Test Mechanics, Flight Test Engineers, Replacement Engine Hardware, Test Engine Procurements, and other associated government costs. For C2D2 to be able to continue to test all three aircraft variants, engine propulsion support is required to enable continued flying.  Increased flights and flight hours are planned over the next two years to meet additional Block 4 flight test timelines, requiring elevated propulsion support. All of the current Full Flight Release (FFR) engines supporting Flight Test are at or nearing their life limits, requiring the purchase of new Initial Service Release (ISR) engines to replace them. This replacement effort is planned to occur over the next one to two years to enable continued flight capability. There are additional requirements to support the Air Vehicle modernization efforts in agile software capability improvements, assessing bleed air/weight/thrust/performance capabilities, etc.",0,0,0,16.493,0,16.493,0,0,0,0,Propulsion (PP),Navy
200,A/PP,0604840N,2936,Propulsion (PP),7,,,10.815,12.814,0,0,0,,,,,Propulsion (PP),Navy
1,PE,0601102A,,Defense Research Sciences,01,"This PE builds fundamental scientific knowledge contributing to the sustainment of United States (US) Army scientific and technological superiority in land warfighting capability and to solving military problems related to long-term national security needs, investigates new concepts and technologies for the Army's future force, and provides the means to exploit scientific breakthroughs and avoid technological surprises. This PE fosters innovation in Army niche areas (e.g., lightweight armor, energetic materials, and night vision capability) and areas where there is no commercial investment due to limited markets (e.g., vaccines for tropical diseases). It also focuses university single investigator research on areas of high interest to the Army (e.g., high-density compact power and novel sensor phenomenology). The in-house portion of the program capitalizes on the Army's scientific talent and specialized facilities to transition knowledge and technology into appropriate developmental activities. The extramural program leverages the research efforts of other government agencies, academia, and industry.  This PE also supports basic research at the Army laboratories through the In-House Laboratory Independent Research (ILIR) program.  The ILIR program serves as a catalyst for major technology breakthroughs by providing laboratory directors flexibility in implementing novel research ideas, by nurturing promising young scientists and engineers, and is used to attract and retain top doctoral degreed scientists and engineers. The ILIR program also provides a source of competitive funds for peer reviewed efforts at Army laboratories to stimulate high quality, innovative research with significant opportunity for payoff to Army warfighting capability. This PE also identifies emerging and disruptive basic scientific research outcomes in order to translate, integrate, and ingrain research outcomes with Army Warfighting Concepts which describe how the Army will fight in the far-term future.  The cited work is consistent with the Under Secretary of Defense for Research and Engineering priority focus areas and the Army Modernization Strategy.",0,343.481,344.031,297.241,0,297.241,0,0,0,0,Defense Research Sciences,Army
1,CA,0601102A,T14,"Multi-fuel ignition, chemistry and control strategies for unmanned aircraft systems hybrid propulsion",1,,,9,15,,,,,,,,Defense Research Sciences,Army
15,PE,0602148A,,Future Verticle Lift Technology,02,"This PE conducts air vehicle and mission system component design, fabrication, and evaluation to enable Army Future Vertical Lift. Emphasis is on developing aviation platform and mission system technologies to enhance manned and unmanned air vehicle combat and combat support operations for attack, reconnaissance, air assault, survivability, logistics, and command and control missions.  Work in this PE contributes to the Army Science and Technology (S&T) air systems portfolio and is fully coordinated with efforts in PE 0603465A (Future Vertical Lift Advanced Technology Development), PE 0602183A Air Platform Applied Research and PE 0603043A Air Platform Advanced Technology  The cited work is consistent with the Under Secretary of Defense for Research and Engineering S&T focus areas and the Army Modernization Strategy.  Work in this PE is performed by the United States Army Futures Command (AFC) and the Army Engineering Research and Development Center (ERDC).",0,94.888,169.536,91.411,0,91.411,0,0,0,0,Future Verticle Lift Technology,Army
15,Project,0602148A,AI7,Alternative Concept Engine Technology,2,"This Project develops Future Vertical Lift (FVL) engine component technologies that could significantly improve platform performance, reliability, and operational capability.  Work in this Project is fully coordinated with PE 0603465A (Future Vertical Lift Advanced Technology Development).  The cited work is consistent with the Under Secretary of Defense for Research and Engineering Science and Technology focus areas and the Army Modernization Strategy.  Work in this Project is performed by the United States (US) Army Futures Command.",0,3.507,0,0,0,0,0,0,0,0,Future Verticle Lift Technology,Army
46,PE,0603465A,,Future Vertical Lift Advanced Technology,03,"This PE matures and demonstrates manned and unmanned air vehicle and mission system technologies as well as advanced teaming capabilities to enable Army Future Vertical Lift. Emphasis is on platform and mission system technologies to enhance manned and unmanned air vehicle combat and combat support operations for attack, reconnaissance, air assault, survivability, logistics, and command and control missions. Within this PE, aviation technologies are advanced and integrated into realistic and robust demonstrations.   Work in this PE contributes to the Army Science and Technology (S&T) air systems portfolio and is fully coordinated with efforts in PE 0602148A (Future Vertical Lift Advanced Technology Development), PE 0602183A Air Platform Applied Research and PE 0603043A Air Platform Advanced Technology  The cited work is consistent with the Under Secretary of Defense for Research and Engineering S&T focus areas and the Army Modernization Strategy.   Work in this PE is performed by the United States Army Futures Command (AFC) and the Army Engineering Research and Development Center (ERDC).",0,180.163,220.334,179.677,0,179.677,0,0,0,0,Future Vertical Lift Advanced Technology,Army
46,Project,0603465A,AI8,Alternative Concept Engine Advanced Technology,3,"This Project provides demonstration of adaptable, fuel efficient, and high power to weight engine technologies for potential application to Future Vertical Lift platforms. Efforts include development of alternative, adaptive and smart engine technologies to provide improved performance, readiness and affordability across the engine operating envelope for increased operational capability.  Work in this Project is fully coordinated with PE 0602148A (Future Vertical Lift Advanced Technology Development).  The cited work is consistent with the Under Secretary of Defense for Research and Engineering Science and Technology focus areas and the Army Modernization Strategy.  All FY20 adjustments align program financial structure to Army Modernization Priorities in support of the National Defense Strategy.  Work in this Project is performed by the United States (US) Army Futures Command.",0,2.808,2.507,3.828,0,3.828,0,0,0,0,Future Vertical Lift Advanced Technology,Army
196,PE,0607139A,,Improved Turbine Engine Program,07,"Improved Turbine Engine Program (ITEP) develops, tests, qualifies, and integrates the next generation turboshaft engine on Future Attack Reconnaissance Aircraft (FARA), Black Hawk and Apache aircraft.  The Improved Turbine Engine (ITE) replaces the existing T700 engine design originated in the 1970's and meets the operational requirement of 6,000 feet pressure altitude and 95 degrees (6K/95).  The ITE will fit inside the existing engine bays of the Black Hawk and Apache Helicopters and provides a significant power enhancement of up to fifty percent (total of 3,000 class shaft horsepower) with increased fuel efficiency.  Additional benefits include improved design life, enhanced reliability, lower maintenance cost and restored capability lost due to aircraft weight growth without an increase to the logistics footprint.  The program consists of systems engineering and program management, detailed design engineering, design assurance, hardware manufacturing and testing, component and module level development and testing, system level testing and qualification, and platform integration and qualification.  ITEP is postured to accelerate based on General Electric contract incentives and integration.  FY 2020 funding continued the EMD effort initiated in FY 2019, platform/engine integration A-kit development, completion of engine Critical Design Review (CDR), initiation of engine component testing, completion of Apache Integrated Baseline Review (IBR), completion of engine fit check for Apache and Black Hawk platforms, completion of Apache A-Kit Preliminary Design Review (PDR), and completion of the Systems Requirements Review (SRR) for Apache and Black Hawk.  FY 2021 funding completed Apache Incremental Critical Design Review #1 (iCDR), continues the EMD effort, continues engine component testing leading to First Engine To Test (FETT), will complete Black Hawk Integrated Baseline Review (IBR), will complete the Live Fire Test Design Plan, begins Preliminary Flight Rating (PFR) testing, begins physical airframe integration, initiates Apache A-Kit iCDR #2, and initiates Black Hawk A-Kit PDR.  FY 2022 funding will continue PFR testing leading to a Preliminary Flight Rated engine in FY 2023, continues physical airframe integration, and continues Live Fire detailed test planning, completes Apache A-Kit iCDR #2, completes Black Hawk A-Kit PDR, and initiates Black Hawk A-Kit CDR.  FY 2023 funding provides for completion of Black Hawk A-Kit CDR, completion of Live Fire detailed test planning, initiation of work to prepare for Live Fire static engine tests, initiation of aircraft flight/qualification testing for both Apache and Black Hawk, and the initiation of engine full qualification testing.  FY 2024 funding provides for continuation of aircraft flight/qualification testing for both Apache and Black Hawk, completion of Live Fire static engine tests, completion of engine qualification, initiation of work to prepare for the Live Fire dynamic engine tests, and the beginning Low Rate Initial Production (LRIP).  FY 2025 funding provides for completion of Live Fire dynamic engine tests, continuation of flight/qualification for both Black Hawk and Apache, continuation of LRIP, execution of Initial Operational Test and Evaluation (IOTE) for Black Hawk and Apache, beginning engine integration and A-kit development for the H-60V platform, and initiation of work to prepare for the Live Fire platform level testing (as needed).  FY 2026 funding provides for H-60V A-kit CDR, and begins physical airframe integration.",0,197.941,232.159,275.024,0,275.024,0,0,0,0,Improved Turbine Engine Program,Army
196,Project,0607139A,ES6,Improved Turbine Engine Program,7,"Improved Turbine Engine Program (ITEP) develops, tests, qualifies, and integrates the next generation turboshaft engine on Future Attack Reconnaissance Aircraft (FARA), Black Hawk and Apache aircraft.  The Improved Turbine Engine (ITE) replaces the existing T700 engine design originated in the 1970's and meets the operational requirement of 6,000 feet pressure altitude and 95 degrees (6K/95).  The ITE will fit inside the existing engine bays of the Black Hawk and Apache Helicopters and provides a significant power enhancement of up to fifty percent (total of 3,000 class shaft horsepower) with increased fuel efficiency.  Additional benefits include improved design life, enhanced reliability, lower maintenance cost and restored capability lost due to aircraft weight growth without an increase to the logistics footprint.  The program consists of systems engineering and program management, detailed design engineering, design assurance, hardware manufacturing and testing, component and module level development and testing, system level testing and qualification, and platform integration and qualification.  ITEP is postured to accelerate based on General Electric contract incentives and integration.  FY 2020 funding continued the EMD effort initiated in FY 2019, platform/engine integration A-kit development, completion of engine Critical Design Review (CDR), initiation of engine component testing, completion of Apache Integrated Baseline Review (IBR), completion of engine fit check for Apache and Black Hawk platforms, completion of Apache A-Kit Preliminary Design Review (PDR), and completion of the Systems Requirements Review (SRR) for Apache and Black Hawk.  FY 2021 funding completed Apache Incremental Critical Design Review #1 (iCDR), continues the EMD effort, continues engine component testing leading to First Engine To Test (FETT), will complete Black Hawk Integrated Baseline Review (IBR), will complete the Live Fire Test Design Plan, begins Preliminary Flight Rating (PFR) testing, begins physical airframe integration, initiates Apache A-Kit iCDR #2, and initiates Black Hawk A-Kit PDR.  FY 2022 funding will continue PFR testing leading to a Preliminary Flight Rated engine in FY 2023, continues physical airframe integration, and continues Live Fire detailed test planning, completes Apache A-Kit iCDR #2, completes Black Hawk A-Kit PDR, and initiates Black Hawk A-Kit CDR.  FY 2023 funding provides for completion of Black Hawk A-Kit CDR, completion of Live Fire detailed test planning, initiation of work to prepare for Live Fire static engine tests, initiation of aircraft flight/qualification testing for both Apache and Black Hawk, and the initiation of engine full qualification testing.  FY 2024 funding provides for continuation of aircraft flight/qualification testing for both Apache and Black Hawk, completion of Live Fire static engine tests, completion of engine qualification, initiation of work to prepare for the Live Fire dynamic engine tests, and the beginning Low Rate Initial Production (LRIP).  FY 2025 funding provides for completion of Live Fire dynamic engine tests, continuation of flight/qualification for both Black Hawk and Apache, continuation of LRIP, execution of Initial Operational Test and Evaluation (IOTE) for Black Hawk and Apache, beginning engine integration and A-kit development for the H-60V platform, and initiation of work to prepare for the Live Fire platform level testing (as needed).  FY 2026 funding provides for H-60V A-kit CDR, and begins physical airframe integration.",0,197.941,232.159,275.024,0,275.024,0,0,0,0,Improved Turbine Engine Program,Army
209,PE,0203744A,,Aircraft Modifications/Product Improvement Programs,07,"The MQ-1C Gray Eagle provides the Army with an extended range, multi-purpose (ERMP) Unmanned Aircraft System (UAS); capable of executing reconnaissance, security, attack, and intelligence collection missions in the range of military operations (ROMO). Sensors/payloads include an Electro-Optical/Infrared/Laser Designator (EO/IR/LD), Synthetic Aperture Radar/Moving Target Indicator (SAR/MTI), Signals Intelligence (SIGINT), and HELLFIRE missiles; providing a near all-weather mission capability. MQ-1C Gray Eagle is a dedicated, assured, multi-mission UAS fielded to all Army Divisions, Intelligence and Security Command and Army Special Operations Command in support of the commander's warfighting priorities within multi-domain battle operations.  Currently MQ-1C Gray Eagle high fuel efficiency engines are undergoing a propulsion reliability effort which will reduce MQ-1C Gray Eagle Return to Base events and decrease the likelihood of engine related aircraft mishaps.  This modernization effort will increase operational readiness and posture Gray Eagle to support multi-domain.",0,8.896,11.261,0,0,0,0,0,0,0,MQ-1C Gray Eagle MODS,Army
209,Project,0203744A,EB6,MQ-1C Gray Eagle MODS,7,"The MQ-1C Gray Eagle provides the Army with an extended range, multi-purpose (ERMP) Unmanned Aircraft System (UAS); capable of executing reconnaissance, security, attack, and intelligence collection missions in the range of military operations (ROMO). Sensors/payloads include an Electro-Optical/Infrared/Laser Designator (EO/IR/LD), Synthetic Aperture Radar/Moving Target Indicator (SAR/MTI), Signals Intelligence (SIGINT), and HELLFIRE missiles; providing a near all-weather mission capability. MQ-1C Gray Eagle is a dedicated, assured, multi-mission UAS fielded to all Army Divisions, Intelligence and Security Command and Army Special Operations Command in support of the commander's warfighting priorities within multi-domain battle operations.  Currently the MQ-1C Gray Eagle high fuel efficiency engine is undergoing a propulsion reliability effort, which will reduce MQ-1C Gray Eagle Return to Base events and decrease the likelihood of engine related aircraft mishaps. Additionally, this effort will increase operational readiness for the Operational Commander.",0,8.896,11.261,0,0,0,0,0,0,0,MQ-1C Gray Eagle MODS,Army
210,PE,0203752A,,Aircraft Engine Component Improvement Program,07,"Aircraft Engine Component Improvement Program (CIP) develops, tests, and qualifies improvements to aircraft engine components to correct service-revealed deficiencies, improve flight safety, enhance readiness and reduce operating and support (O&S) costs. In addition, CIP provides the test vehicles for the testing and qualification efforts required as a part of the Army's Critical Safety Item (CSI) program.  Non-program specific Auxiliary Power Unit (APU) as well as Unmanned Aerial Vehicle (UAV) safety and readiness issues are also addressed under this Program Element.",0,0.138,0.08,0.132,0,0.132,0,0,0,0,Aircraft Engine Component Improvement Program,Army
210,Project,0203752A,106,A/C Compon Improv Prog,7,"Aircraft Engine Component Improvement Program (CIP) develops, tests, and qualifies improvements to aircraft engine components to correct service-revealed deficiencies, improve flight safety, enhance readiness and reduce operating and support (O&S) costs. In addition, CIP provides the test vehicles for the testing and qualification efforts required as a part of the Army's Critical Safety Item (CSI) program. Non-program specific Auxiliary Power Unit (APU) as well as Unmanned Aerial Vehicle (UAV) safety and readiness issues are also addressed under this Program Element (PE).",0,0.138,0.08,0.132,0,0.132,0,0,0,0,Aircraft Engine Component Improvement Program,Army
