,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,,PB19,PB20,PB21,PB22,PB23,,,,,,,
114,PE,0604262N,,V-22A,05,"The V-22 Osprey is an Acquisition Category IC Joint Program led by the Department of the Navy for the purpose of developing, testing, evaluating, procuring and fielding a tilt rotor, vertical takeoff and landing aircraft for Joint Service application.  The V-22 program is designed to provide an aircraft to meet the amphibious/vertical assault needs of the Marine Corps, the Carrier Onboard Delivery needs of the Navy, and the special operations needs of the Air Force and the United States Special Operations Command (USSOCOM). The MV-22 variant replaced the CH-46E in the Marine Corps and the CMV-22 variant will replace the C-2A in the Navy. The CV-22 variant replaced the MH-53J and MH-53M and augments the C-130 in the Air Force and USSOCOM.  The V-22 is capable of flying over 2,100 nautical miles, with a single refueling, giving the services the advantage of a vertical/short take-off and landing aircraft that can rapidly self-deploy to any location in the world.  This program is funded under Engineering Manufacturing and Development for correction of deficiencies and includes Block B upgrades which encompassed engineering and manufacturing development of new end-items prior to the production incorporation decision as well as Block C suitability and effectiveness development upgrades. Currently converting all Block B to Block C configuration.  Capability Development Document interoperability requirements were addressed through a spiral upgrade acquisition strategy.  It was the first spiral upgrade providing Key Enabling Department of Defense mandated open systems architecture upgrades for the mission computer hardware and software while simultaneously addressing required interoperability common avionics upgrades and current avionics obsolescence issues.  Future development efforts will include pre-planned-product-improvements in the capability development document and re-design efforts to correct critical Reliability, Maintainability and Availability issues in support of readiness Operational Safety Improvement Program as prioritized by the United States Marine Corps (USMC) or an Urgent Universal Needs Statement.","9,787.695",128.400,105.729,125.233,0.000,125.233,136.158,106.511,122.453,105.024
114,A/PP,0604262N,1425,V-22 Propulsion / Mission Care Hardware Development,5,,,0.844,1.849,1.886,0.000,1.886,,,,
201,PE,0604840M,,F-35B C2D2,07,"The F-35 Joint Strike Fighter (JSF) Program will develop and field an affordable, highly common family of next generation strike aircraft for the United States Navy, United States Air Force, United States Marine Corps and International Partners countries. There are three variants the F-35A Conventional Takeoff and Landing variant; F-35B Short Take Off and Vertical Landing; and the F-35C Aircraft Carrier suitable variant. Maximum commonality among the variants, consistent with National Disclosure Policy, will minimize total air system life cycle costs. Planning, systems engineering, development, and testing for Block 4 continues across the F-35 Air System to include the air vehicle, propulsion system, combat data systems, maintenance systems, and training systems as Initial Operational Capability (IOC) has been met for each variant.  The JSF Continuous Capability Development & Delivery(C2D2) efforts provide incremental warfighting capability improvements to maintain joint air dominance against evolving threats. Block 4 capability requirements were initiated through ongoing Service-led operational analysis of warfighting gaps identified in the Fifth Generation Fighter Modernization Initial Capabilities Document (ICD), and through F-35 JSF Block 4 Mission Decomposition analysis completed in FY2014. These analyses served as the basis for the Block 4 Capability Development Document (CDD), staffed through the Air Force Requirements Oversight Council (AFROC) and signed by the USAF Chief of Staff in January 2015. Joint Requirements Oversight Council (JROC) approved the CDD 21 March 2017.)  Modernization activities in FY2022 and FY2023 continue with the incremental releases of Block 4 capabilities.  Block 4 efforts include a robust weapons integration portfolio and provide new opportunities for International Partners to assess, integrate, and field unique capabilities based on global sovereign requirements.  The United Kingdom, Italy, Netherlands, Canada, Australia, Denmark and Norway are participants in F-35 modernization. The program shown here reflects United States Navy funding. Total funding for all Service and International Partners is reported at the accomplishment/planned program level since activities support all aircraft variants. Foreign Military Sales are ongoing separately.  PE 0604840M/N replacing PE 0604810M/N beginning in FY2019 due to budget being moved from BA05 to BA07.   JUSTIFICATION FOR BUDGET ACTIVITY: This program is funded under OPERATIONAL SYSTEMS DEVELOPMENT because it includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate funding in the current or subsequent fiscal year.","1,443.003",378.495,515.746,525.338,0.000,525.338,409.610,349.243,316.760,321.569
201,Project,0604840M,2570,Propulsion (PP),7,"Propulsion F135 projects within the Continuous Capability Development & Delivery (C2D2) are provided for developmental efforts for propulsion systems and test engine requirements such as Block 4 Integrated Flight Test Support, Engine Flight Test Mechanics, Flight Test Engineering, Engine Hardware, Test Engine Procurements, research, component and capability development, prototypes, various studies, and other associated government costs integral to support the developmental stages for engine modernization and improvement to support the F135 Air Vehicle. Testing and development of the three F135 aircraft variants require engine propulsion funding to enable continued flight hours. Flight hours are budgeted and planned to meet the Block 4 flight test timelines, and required Flight Test support. Flight Test Support efforts will transition to Organic support by FY2026. Transition of Flight Test Support requirements to organic capability includes efforts performed by contractor and government installations, Autonomic Logistics Information System / Operational Data Integrated Network (ALIS/ODIN) transition, and Final Flight Release (FFR) engine support efforts. Propulsion C2D2 provides funding for requirements to support the Air Vehicle modernization efforts with signature predicting improvements and a bridge program for engine modernization. Engine Modernization is predicted to begin in FY2024.",0.000,0.000,16.493,7.436,0.000,7.436,0.419,0.410,0.402,0.385
201,A/PP,0604840M,3410,Propulsion (PP),7,,,11.809,0.000,0.000,0.000,0.000,,,,
202,PE,0604840N,,F-35C C2D2,07,"The F-35 Joint Strike Fighter (JSF) Program will develop and field an affordable, highly common family of next generation strike aircraft for the United States Navy, United States Air Force, United States Marine Corps and International Partners countries. There are three variants the F-35A Conventional Takeoff and Landing variant; F-35B Short Take Off and Vertical Landing; and the F-35C Aircraft Carrier suitable variant. Maximum commonality among the variants, consistent with National Disclosure Policy, will minimize total air system life cycle costs. Planning, systems engineering, development, and testing for Block 4 continues across the F-35 Air System to include the air vehicle, propulsion system, combat data systems, maintenance systems, and training systems as Initial Operational Capability (IOC) has been met for each variant.  The JSF Continuous Capability Development & Delivery(C2D2) efforts provide incremental warfighting capability improvements to maintain joint air dominance against evolving threats. Block 4 capability requirements were initiated through ongoing Service-led operational analysis of warfighting gaps identified in the Fifth Generation Fighter Modernization Initial Capabilities Document (ICD), and through F-35 JSF Block 4 Mission Decomposition analysis completed in FY2014. These analyses served as the basis for the Block 4 Capability Development Document (CDD), staffed through the Air Force Requirements Oversight Council (AFROC) and signed by the USAF Chief of Staff in January 2015. Joint Requirements Oversight Council (JROC) approved the CDD 21 March 2017.)  Modernization activities in FY2022 and FY2023 continue with the incremental releases of Block 4 capabilities.  Block 4 efforts include a robust weapons integration portfolio and provide new opportunities for International Partners to assess, integrate, and field unique capabilities based on global sovereign requirements.  The United Kingdom, Italy, Netherlands, Canada, Australia, Denmark and Norway are participants in F-35 modernization. The program shown here reflects United States Navy funding. Total funding for all Service and International Partners is reported at the accomplishment/planned program level since activities support all aircraft variants. Foreign Military Sales are ongoing separately.  PE 0604840M/N replacing PE 0604810M/N beginning in FY2019 due to budget being moved from BA05 to BA07.   JUSTIFICATION FOR BUDGET ACTIVITY: This program is funded under OPERATIONAL SYSTEMS DEVELOPMENT because it includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate funding in the current or subsequent fiscal year.","1,395.881",377.005,486.962,491.513,0.000,491.513,386.118,324.490,295.983,300.659
202,Project,0604840N,2556,Propulsion (PP),7,"Propulsion F135 projects within the Continuous Capability Development & Delivery (C2D2) are provided for developmental efforts for propulsion systems and test engine requirements such as Block 4 Integrated Flight Test Support, Engine Flight Test Mechanics, Flight Test Engineering, Engine Hardware, Test Engine Procurements, research, component and capability development, prototypes, various studies, and other associated government costs integral to support the developmental stages for engine modernization and improvement to support the F135 Air Vehicle. Testing and development of the three F135 aircraft variants require engine propulsion funding to enable continued flight hours. Flight hours are budgeted and planned to meet the Block 4 flight test timelines, and required Flight Test support. Flight Test Support efforts will transition to Organic support by FY2026. Transition of Flight Test Support requirements to organic capability includes efforts performed by contractor and government installations, Autonomic Logistics Information System / Operational Data Integrated Network (ALIS/ODIN) transition, and Final Flight Release (FFR) engine support efforts. Propulsion C2D2 provides funding for requirements to support the Air Vehicle modernization efforts with signature predicting improvements and a bridge program for engine modernization. Engine Modernization is predicted to begin in FY2024.",0.000,0.000,16.493,7.415,0.000,7.415,0.407,0.399,0.393,0.379
202,A/PP,0604840N,2936,Propulsion (PP),7,,,12.814,0.000,0.000,0.000,0.000,,,,
221,PE,0205633N,,Aviation Improvements,07,"Project 0601 - Common Ground Equipment is a Naval Aviation Project to apply new technology to common support equipment necessary to support multiple aircraft.    Project 0852: Consolidated Automated Support System (CASS) is a standardized Automated Test Equipment (ATE) with computer assisted, multi-function capabilities to support the maintenance of aircraft weapons systems and missiles. Electronic Warfare (EW) and Communication, Navigation and Identification (CNI) testers another type of standardized Automated Test Equipment with computer assisted, multi-function capabilities to support the maintenance of aircraft weapons systems. ATE host, and their Test Program Sets, along with associated ancillary are considered Automatic Test Systems (ATS). Line adjusted from ""eCASS Modernization"", to ""ATS Modernization"" to reflect inclusion of Electronic Warfare (EW) and Communication, Navigation and Identification (CNI) testers.  Project 1041 - Aircraft Equipment Reliability/Maintainability Improvement  Program is the only Navy program that provides engineering support for in-service out-of-production aircraft equipment, and provides increased readiness at reduced operational and support cost.    Project 1355 -  Aircraft Engine Component Improvement Program  develops reliability and maintainability and safety enhancements for in-service Navy aircraft engines, transmissions, propellers, starters, auxiliary power units, electrical generating systems, fuel systems, fuels, and lubricants.    Project 2269 - The Expeditionary Airfields (EAF) program designs, develops, tests and fields Airfield Light Systems to replace existing obsolete legacy EAF lighting system.  JUSTIFICATION FOR BUDGET ACTIVITY: This program is funded under OPERATIONAL SYSTEMS DEVELOPMENT because it includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate funding in the current or subsequent fiscal year.","1,810.758",122.884,144.621,130.450,0.000,130.450,137.960,128.476,128.668,130.273
221,Project,0205633N,1355,Propulsion and Power Component Improvement Program,7,"The Propulsion and Power (P&P) Component Improvement Program (CIP) provides the only source of critical design and development engineering support to resolve safety, reliability  and maintainability deficiencies of in-service Navy and Marine Corps aircraft propulsion systems. The highest priority issues P&P CIP addresses concern safety-of-flight deficiencies, which account for approximately 80% of P&P CIP efforts. The program also corrects service-revealed deficiencies, improves Operational Readiness and Reliability and Maintainability, and reduces platform Life Cycle Cost. Budgets are allocated across platform-specific teams and multi-platform product support teams based upon long term strategies to achieve  safety and affordable readiness goals; the R-3 exhibit details annual portions of those long-term strategies. P&P CIP tasks have reduced the rate of in-flight aborts, safety incidents, non-mission capable rates, scheduled and unscheduled engine removals, maintenance work hours, and overall cost of ownership. This is accomplished through the maintenance and validation of specification performance, testing to qualify engineering changes, verifying life limits, and improving the inherent reliability of the propulsion and power systems as an integral part of Reliability Centered Maintenance initiatives. Historically, the missions, tactics, and environmental exposure of military aircraft systems change to meet new threats or operational demands, and often result in unforeseen problems, which if not corrected, can cause critical safety/readiness degradation, such as those experienced during OPERATIONS DESERT SHIELD/DESERT STORM, ENDURING FREEDOM, and IRAQI FREEDOM due to sand erosion. In addition, new problems arise through actual fleet deployment and usage of the aircraft. System development programs, while geared to resolve as many problems as possible before deployment, cannot duplicate actual operations or account for the vast array of environmental and usage variables, particularly when aircraft missions vary from those that the aircraft was designed to perform. Therefore, it has been found that P&P CIP can provide an immediate engineering response to these flight-critical problems and accelerated engine testing can avoid potential problems. P&P CIP starts after development and Navy acceptance of the first production article and addresses usage and life problems not covered by warranties. P&P CIP addresses engines, transmissions, propellers, starters, auxiliary power units, electrical generating systems, aircraft wiring, and fuel and lubricant systems. These efforts continue over the system's life, gradually decreasing to a minimum level sufficient to maintain the reliability, and decrease the operating costs, of older inventory. P&P CIP is a highly leveraged and cooperative tri-service program with Foreign Military Sales participation.","1,433.602",106.239,101.313,111.812,0.000,111.812,118.966,111.851,112.883,114.852
,,,,,,,,,,,,,,,,
PB2022,,,,,,,,,,,,,,,,
Line#,Type,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,BA#,Description,Prior Years,FY 2020,FY 2021,FY 2022 Base,FY 2022 OCO,FY 2022 Total,FY 2023,FY 2024,FY 2025,FY 2026
5,PE,0602102F,,Materials,02,"This program develops advanced materials, processing, and inspection technologies to reduce life cycle costs and improve performance, sustainability, availability, affordability, supportability, reliability, and survivability of current and future Department of the Air Force systems and operations. The program has three projects that develop: structural, propulsion, and sub-systems materials and processes technologies; electronic, optical, and survivability materials and processes technologies; and sustainment materials, processes technologies, and advanced non-destructive inspection methodologies. Efforts in the program have been coordinated through the Department of Defense Science and Technology Executive Committee process to harmonize efforts and eliminate duplication. This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities.   Funds in this PE may be used to investigate specified technology advancements in air, space and/or cyber domains.   The use of program funds in this PE would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602201F, 0602202F, 0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601SF, and 0602298F.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0.000,212.551,237.847,113.460,0.000,113.460,0.000,0.000,0.000,0.000
5,Project,0602102F,624347,"Materials for Structures, Propulsion, and Subsystems",2,"This project develops the materials and processing technology base for aircraft, spacecraft, launch systems, and missiles to improve affordability, maintainability, and performance of current and future Department of the Air Force systems. A family of affordable lightweight materials is being developed, including metals, polymers, ceramics, metallic and nonmetallic composites, and hybrid materials to provide upgraded capabilities for existing aircraft, missile, and propulsion systems to meet the future system requirements. The project develops high-temperature turbine engine materials that will enable engine designs to improve turbine engine thrust-to-weight ratio, specific fuel consumption and affordability. Advanced high temperature protection materials are being developed that are affordable, lightweight, dimensionally stable, thermally conductive, and/or ablation and erosion resistant to meet aerospace and missile requirements. Alternative or replacement materials are being developed to maintain the performance of fielded operational systems. The project concurrently develops advanced processing methods to enable adaptive processing of aerospace materials.",0.000,100.544,105.999,41.376,0.000,41.376,0.000,0.000,0.000,0.000
6,PE,0602201F,,Aerospace Vehicle Technologies,02,"This program investigates, develops, and analyzes aerospace vehicle technologies in the six primary areas of high speed systems, power and flight control technologies, rocket propulsion, turbine engine technologies, fuel sciences, and  aeromechanics and structure systems. The effort has six projects, each focusing on a technology area critical to the Air Force. The High Speed Systems Technology project develops high speed/hypersonic aerospace vehicles as well as high-speed air breathing propulsion engines to include combined cycle, ramjet, and hypersonic scramjet technologies to enable revolutionary propulsion capability for the Air Force. The Power and Flight Control Technologies project develops technologies that enable maximum affordable capability from manned, remotely-piloted and autonomous aerospace vehicles while developing electrical and thermal control technologies for military applications that remove operational limitations and enable advanced vehicle designs and high-power mission systems. The Rocket Propulsion Technology project develops advances in rocket propulsion technologies for space access, space maneuver, missiles, the sustainment of strategic systems, and tactical rockets. The Turbine Engine Technology project develops and enables advanced engine architectures across small, medium, large thrust classes; to provide optimized performance, fuel efficiency, and integrated propulsion, power, and thermal capability, while enhancing affordability. Includes technology concepts for legacy and future, advanced turbine engines. The Aerospace Fuel Technology project evaluates hydrocarbon-based fuels for legacy and advanced turbine engines, scramjets, pulse detonation, and combined-cycle engines. The Aeromechanics and Structures project develops and exploits new  materials, fabrication processes, design techniques, and incorporating vehicle, inter-vehicle, and intra-vehicle control systems. Advanced aerodynamic vehicle configurations are developed and analyzed through simulations, experiments, and multi-disciplinary analyses.   In FY 2021, the Aerospace Systems RDT&E Budget Activity 02 (BA02) efforts and activities under PE 0602203F, Aerospace Propulsion, and PE 0602201F, Aerospace Vehicle Technologies, are realigned and consolidated into PE 0602201F, Aerospace Vehicle Technologies, to increase the efficiency and effectiveness of internal Air Force Research Laboratory Aerospace Systems Technology Directorate operations to finalize the 2012 merger of the Air Vehicles Directorate and Propulsion Directorate; and to better support the National Defense Strategy, Air Force Future Operating Concept, and the Air Force Science and Technology Strategy, April 2019.  All transfers detailed below are administrative realignments for consolidation, and not new starts. This work will continue to be executed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located either in Wright Patterson Air Force Base, OH or Edwards Air Force Base, CA.    In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623066, Turbine Engine Technology, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology.   In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623048, Combustion & Mechanical Systems is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 625330, Aerospace Fuel Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology.  In FY 2021, the entirety of PE 0603216F, Aerospace Propulsion & Power Technology, Project 632480, Aerospace Fuels is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 624847 , Rocket Propulsion Technology, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 624847, Rocket Propulsion Technology.  In FY 2021, the entirety of PE 0602201F, Aerospace Vehicle Technologies, Project 622403, Flight Controls & Pilot-Vehicle Interface is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 622406, Aerospace Power & Flight Control Technology.  In FY 2021, the entirety of Program Element 0602201F, Aerospace Vehicle Technologies, Project 622404, Aeromechanics & Integration, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 622401, Aeromechanics & Structures Technology.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623012, Advanced Propulsion Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 622405, High Speed Systems Technology.   This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602102F, 0602202F, 0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601SF, and 0602298F.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0.000,150.625,157.724,349.225,0.000,349.225,357.519,342.564,350.533,355.874
6,Project,0602201F,623066,Turbine Engine Technology,2,"This project develops technology to increase turbine engine operational reliability, durability, mission flexibility, and performance, while reducing weight, fuel consumption, and cost of ownership. Analytical and experimental areas of emphasis are fans and compressors, high temperature combustors, turbines, internal flow systems, controls, augmentor and exhaust systems, integrated power and thermal management systems, engine inlet integration, mechanical systems, adaptive cycle technologies, and structural design. The project investigates advanced propulsion, power, and thermal management system for subsonic, supersonic, or hypersonic vision systems for the 2025-2035 timeframe to:  Develop and demonstrate propulsion technologies for subsonic expendable and attritable air platforms; develop and validate targeted life component design, materials, and modeling tools for all engine classes; develop advanced turbine engine technologies to enable significantly increased range and dash speed; investigate durability, efficiency, and specific power with reduced cost of ownership for reusable engines; develop pervasive, hydrocarbon fueled pressure gain propulsion technologies that offer increased efficiency, reduced propulsion system volume/weight, and truly disruptive vehicle performance to the warfighter; evaluate lubricants, mechanical systems, and combustion concepts for advanced turbine engines, pressure gain propulsion, and combined cycle engines; analysis for an adaptive cycle engine architecture that provides both optimized performance and fuel efficiency for widely varying mission needs.  This project supports joint Department of Defense, agency, and industry efforts to focus turbine propulsion technology on national needs. The project plan is relevant across capability areas for global responsive air superiority, strike, tactical and global mobility, responsive space lift, and persistent intelligence, surveillance, and reconnaissance (ISR).   In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623066, Turbine Engine Technology, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology.  In addition, the entirety of PE 0602203F, Aerospace Propulsion, Project 623048, Combustion & Mechanical Systems is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology. These transfers support internal Technology Directorate operations and realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept, and Air Force Science and Technology Strategy, April 2019.  This is an administrative realignment for consolidation, and not a new start.",0.000,0.000,0.000,73.887,0.000,73.887,73.705,70.860,72.425,73.523
6,Project,0602201F,625330,Aerospace Fuel Technology,2,"This project evaluates hydrocarbon-based fuels for legacy and advanced turbine engines, scramjets, pressure gain propulsion and combined cycle engines. This project also considers fuel related concepts that can increase turbine engine operational reliability, durability, mission flexibility, energy efficiency, and performance while reducing weight, fuel consumption, and cost of ownership. Applications include missiles, aircraft, sustained high-speed vehicles, and responsive space launch. Analytical and experimental areas of emphasis include evaluations of fuel properties and characteristics of alternative fuels developed from unconventional sources (such as coal, natural gas, biomass, and combinations thereof), unique/alternate fuels and components used in integrated thermal and energy management systems including high heat sink fuel capability, fuels logistics and associated vulnerabilities, and combustion diagnostics and engine emissions measurements.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 625330, Aerospace Fuel Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology. In addition, the entirety of Project 632480, Aerospace Fuels in PE 0603216F, Propulsion & Power Technology, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology. These transfers realign and consolidation Aerospace Fuel research and realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept and Air Force Science and Technology Strategy, April 2019.  This is an administrative realignment for consolidation, and not a new start.",0.000,0.000,0.000,7.552,0.000,7.552,7.644,7.496,7.658,7.786
8,PE,0602203F,,Aerospace Propulsion,02,"This effort develops propulsion and power technologies to achieve enabling and revolutionary aerospace technology capabilities. The effort has six projects, each focusing on a technology area critical to the Department of the Air Force. The Advanced Propulsion Technology project develops high-speed air breathing propulsion engines to include combined cycle, ramjet, and hypersonic scramjet technologies to enable revolutionary propulsion capability for the Department of the Air Force. The Combustion and Mechanical Systems project develops engine mechanical system technologies: bearings, seals, drives, and lubricants as well as combustion components, concepts, and technologies for legacy and advanced turbine engines. The Turbine Engine Technology project develops enabling capabilities to enhance performance and affordability of existing weapon systems and develops component technologies for ultra high pressure ratio, substantially improved durability, and adaptive cycle engine architecture to provide optimized performance, fuel efficiency, and life for widely varying mission needs. The Aerospace Power Technology project develops electrical power and thermal control technologies for military applications that remove operational limitations and enable advanced vehicle designs and high-power mission systems. The Rocket Propulsion Technology project develops advances in rocket propulsion technologies for space access, space maneuver, missiles, the sustainment of strategic systems, and tactical rockets. The Aerospace Fuel Technology project evaluates hydrocarbon-based fuels for legacy and advanced turbine engines, scramjets, pulse detonation, and combined-cycle engines. Efforts in this program have been coordinated through the Department of Defense (DoD) Science and Technology (S&T) Executive Committee process to harmonize efforts and eliminate duplication.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities. The use of program funds in this PE would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602102F, 0602201F, 0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601SF, and 0602298F.  Funds in this PE may be used to investigate specified technology advancements in air, space and/or cyber domains.  All transfers detailed below are administrative realignments due to the stand up of the United States Space Force, and not new starts. This work will continue to be executed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in Wright Patterson Air Force Base, OH, Edwards Air Force Base, CA, or Arnold Air Force Base, TN.  In FY 2022, the work and funding associated with space technology research in PE 0602203F, Aerospace Propulsion, Project 624847, Rocket Propulsion Technology, are transferred to Appropriation 3620F, Research, Development, Test & Evaluation, Space Force, PE 1206601SF, Project 624847, Rocket Propulsion Technology, due to the creation of a new Appropriation for Space Force.  In FY 2022, the work and funding associated with missile rocket propulsion technologies in PE 0602203F, Aerospace Propulsion are transferred from Project 624847, Rocket Propulsion Technology to Project 625171, Missile Rocket Propulsion Technology due to the creation of a new Appropriation for Space Force.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0.000,214.814,201.048,174.683,0.000,174.683,0.000,0.000,0.000,0.000
8,Project,0602203F,623012,Advanced Propulsion Technology,2,"This project develops combined/advanced cycle air breathing high-speed (up to Mach 5) and hypersonic (Mach 5 to 7) propulsion technologies to provide revolutionary propulsion options for the Air Force. These new engine technologies will enable future high-speed/hypersonic weapons and aircraft concepts. The primary focus is on hydrocarbon-fueled engines capable of operating over a broad range of flight Mach numbers. Efforts include modeling, simulations, and proof of concept demonstrations of critical components; advanced component development; and ground-based demonstrations.",0.000,29.802,0.000,17.679,0.000,17.679,0.000,0.000,0.000,0.000
8,Project,0602203F,623048,Combustion and Mechanical Systems,2,"This project evaluates lubricants, mechanical systems, and combustion concepts for advanced turbine engines, pulse detonation engines, and combined cycle engines. This project also develops technologies to increase turbine engine operational reliability, durability, mission flexibility, maintainability, and performance while reducing weight, fuel consumption, and cost of ownership. Applications include:  missiles, aircraft, and re-usable high-speed vehicles. Analytical and experimental areas of emphasis include:  lubricants, bearings, mechanical systems diagnostics, mechanical systems prognostics, rotor dynamics, oil-less engine technology, optical diagnostics, fundamental combustion, detonations, combustors, and afterburners. Lubricants for these engines must be thermally stable, cost-effective, and operate over a broad range of conditions. Advanced combustion concepts must be cost-effective, durable, and reduce pollutant emissions. A portion of this project supports adaptive cycle technologies. Adaptive cycle technologies develops component technology for an adaptive cycle engine architecture that provides both optimized performance and fuel efficiency for widely varying mission needs.",0.000,11.134,0.000,11.345,0.000,11.345,0.000,0.000,0.000,0.000
8,Project,0602203F,623066,Turbine Engine Technology,2,"This project develops technology to increase turbine engine operational reliability, durability, mission flexibility, and performance, while reducing weight, fuel consumption, and cost of ownership. Analytical and experimental areas of emphasis are fans and compressors, high temperature combustors, turbines, internal flow systems, controls, augmentor and exhaust systems, integrated power and thermal management systems, engine inlet integration, mechanical systems, adaptive cycle technologies, and structural design. This project develops component technology for an adaptive cycle engine architecture that provides both optimized performance and fuel efficiency for widely varying mission needs. This project supports joint Department of Defense, agency, and industry efforts to focus turbine propulsion technology on national needs. The project plan is relevant across capability areas for global responsive strike, tactical and global mobility, responsive space lift, and persistent intelligence, surveillance, and reconnaissance (ISR).",0.000,50.601,73.887,62.350,0.000,62.350,0.000,0.000,0.000,0.000
8,Project,0602203F,625330,Aerospace Fuel Technology,2,"This project evaluates hydrocarbon-based fuels for legacy and advanced turbine engines, scramjets, detonation, and combined cycle engines. This project also considers fuel related concepts that can increase turbine engine operational reliability, durability, mission flexibility, energy efficiency, and performance while reducing weight, fuel consumption, and cost of ownership. Applications include missiles, aircraft, sustained high-speed vehicles, hypersonic, and responsive space launch. Analytical and experimental areas of emphasis include evaluations of fuel properties and characteristics of traditional fuels and alternative fuels developed from unconventional sources (such as coal, natural gas, biomass, and combinations thereof), specialty fuels and components development used in integrated thermal and energy management systems including high heat sink fuel capability, fuels logistics and associated vulnerabilities, and combustion diagnostics and engine emissions measurements.",0.000,4.742,7.552,8.638,0.000,8.638,0.000,0.000,0.000,0.000
